id;cnpj;nome_oficial_empresa;nome_cormecial_empresa;situacao_cadastral;data_abertura;natureza_juridica;cnae;capital_social;porte_empresa;cep;uf;cidade;bairro;logradouro
1;00000000000191;BANCO DO BRASIL SA;DIRECAO GERAL;2;1966-08-01;Sociedade de Economia Mista;6422100;120000000000.0;DEMAIS;70040912;DF;BRASILIA;ASA NORTE;SAUN QUADRA 5 BLOCO B TORRE I, II, III
2;33000167000101;PETROLEO BRASILEIRO S A PETROBRAS;PETROBRAS - EDISE;2;1966-09-28;Sociedade de Economia Mista;600001;205431960000.0;DEMAIS;20031170;RJ;RIO DE JANEIRO;CENTRO;REPUBLICA DO CHILE
3;00001180000126;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;ELETROBRAS;2;1966-08-19;Sociedade Anônima Aberta;6462000;70099830000.0;DEMAIS;20030900;RJ;RIO DE JANEIRO;CENTRO;GRACA ARANHA
4;03467321000199;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.;ENERGISA MT;2;1966-08-25;Sociedade Anônima Aberta;3514000;1680454300.0;DEMAIS;78010900;MT;CUIABA;BANDEIRANTES;VEREADOR JOAO BARBOSA CARAMURU 184
5;02016440000162;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;RGE;2;1997-08-05;Sociedade Anônima Aberta;3514000;2874962000.0;DEMAIS;93032525;RS;SAO LEOPOLDO;FAZENDA SAO BORJA;SAO BORJA
6;02429144000193;CPFL ENERGIA S.A.;;2;1998-03-25;Sociedade Anônima Aberta;6462000;9435625000.0;DEMAIS;13087397;SP;CAMPINAS;JARDIM PROFESSORA TARCILIA;JORGE DE FIGUEIREDO CORREA
7;00864214000106;ENERGISA S/A;;2;1995-08-29;Sociedade Anônima Aberta;6462000;10876550000.0;DEMAIS;36770901;MG;CATAGUASES;CENTRO;RUI BARBOSA
8;17155730000164;COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG;;2;1952-05-27;Sociedade de Economia Mista;3513100;14308909000.0;DEMAIS;30190924;MG;BELO HORIZONTE;SANTO AGOSTINHO;BARBACENA
9;76483817000120;COMPANHIA PARANAENSE DE ENERGIA - COPEL;COPEL;2;1966-08-03;Sociedade Anônima Aberta;6462000;12831619000.0;DEMAIS;81200240;PR;CURITIBA;ORLEANS;JOSE IZIDORO BIAZETTO
10;43776517000180;COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP;SABESP;2;1973-10-08;Sociedade Anônima Aberta;3600601;15000000000.0;DEMAIS;05429000;SP;SAO PAULO;PINHEIROS;COSTA CARVALHO
11;04128563000110;AES TIETE ENERGIA S.A.;;8;2000-11-06;Sociedade Anônima Aberta;3511501;1765947600.0;DEMAIS;04578000;SP;SAO PAULO;BROOKLIN PAULISTA;DAS NACOES UNIDAS
12;50746577000115;COSAN S.A.;;2;1966-07-08;Sociedade Anônima Aberta;6462000;8182738000.0;DEMAIS;04538132;SP;SAO PAULO;ITAIM BIBI;BRIGADEIRO FARIA LIMA
13;08070508000178;RAIZEN ENERGIA S.A;;2;2006-05-05;Sociedade Anônima Aberta;1071600;21031610000.0;DEMAIS;04538132;SP;SAO PAULO;ITAIM BIBI;BRIG FARIA LIMA
14;33256439000139;ULTRAPAR PARTICIPACOES S/A;;2;1953-12-11;Sociedade Anônima Aberta;6462000;7987099600.0;DEMAIS;01317910;SP;SAO PAULO;BELA VISTA;BRIGADEIRO LUIZ ANTONIO
15;33592510000154;VALE S.A.;;2;1969-02-11;Sociedade Anônima Aberta;710301;77300000000.0;DEMAIS;22250145;RJ;RIO DE JANEIRO;BOTAFOGO;BOTAFOGO
16;33611500000119;GERDAU S.A.;;2;1971-03-09;Sociedade Anônima Aberta;2423702;24347292000.0;DEMAIS;05425070;SP;SAO PAULO;PINHEIROS;DOUTORA RUTH CARDOSO
