nome_do_servico,prestador_do_servico_fornecedor,descricao_do_servico,valor_do_servico,categoria_do_servico
Conta Corrente Empresarial,00000000000191,Conta corrente para PJ com gestão de fluxo de caixa e internet banking,89.9,Serviços Bancários
Fornecimento de GNL Industrial,33000167000101,Fornecimento de gás natural liquefeito para indústrias com contrato de longo prazo,12500.0,Energia
Lubrificantes Industriais Petrobras,33000167000101,Fornecimento de lubrificantes especializados para máquinas e equipamentos industriais,3800.0,Energia
Energia Elétrica em Alta Tensão,00001180000126,Fornecimento de energia em alta tensão para grandes consumidores industriais,45000.0,Energia Elétrica
Consultoria em Eficiência Energética,00001180000126,"Análise, diagnóstico e otimização do consumo energético empresarial",8500.0,Consultoria
Distribuição de Energia Elétrica MT,03467321000199,Serviço de distribuição de energia elétrica no Mato Grosso para consumidores rurais e urbanos,2300.0,Energia Elétrica
Distribuição de Energia Elétrica RS,02016440000162,Fornecimento e distribuição de energia elétrica no Rio Grande do Sul,1950.0,Energia Elétrica
Geração de Energia Solar CPFL,02429144000193,"Projeto, instalação e operação de usina fotovoltaica para empresas e indústrias",120000.0,Energia Solar
Manutenção de Infraestrutura Elétrica,02429144000193,Manutenção preventiva e corretiva de redes de distribuição e infraestrutura elétrica,7500.0,Manutenção
Conexão de Unidade Consumidora,00864214000106,Serviço de ligação e conexão de nova unidade à rede de distribuição de energia,3200.0,Energia Elétrica
Mercado Livre de Energia CEMIG,17155730000164,Fornecimento de energia elétrica no mercado livre para grandes consumidores em MG,38000.0,Energia Elétrica
Vistoria de Instalações Elétricas,17155730000164,Inspeção técnica e laudo de instalações elétricas prediais e industriais,1200.0,Inspeção
Fornecimento de Energia Elétrica PR,76483817000120,Distribuição de energia elétrica no Paraná para consumidores residenciais e industriais,2700.0,Energia Elétrica
Fornecimento de Água Industrial,43776517000180,Fornecimento de água tratada para uso industrial no estado de São Paulo,5600.0,Saneamento
Coleta e Tratamento de Esgoto,43776517000180,"Serviço de coleta, transporte e tratamento de esgoto sanitário para empresas",3200.0,Saneamento
Comercialização de Energia Hidrelétrica,04128563000110,Comercialização de energia de origem hidrelétrica no mercado livre para empresas,28000.0,Energia Elétrica
Distribuição de Combustíveis a Granel,50746577000115,Fornecimento e logística de combustíveis para frotas empresariais e postos revendedores,95000.0,Combustíveis
Biocombustível Corporativo Raízen,08070508000178,Fornecimento de etanol e biocombustíveis para empresas com gestão de frota,42000.0,Combustíveis
Bioeletricidade para Indústrias,08070508000178,Geração e fornecimento de bioeletricidade a partir do bagaço de cana-de-açúcar,18500.0,Energia
Distribuição de GLP Industrial,33256439000139,"Fornecimento e distribuição de GLP para uso industrial, comercial e residencial",15000.0,Combustíveis
Logística Ferroviária de Cargas Vale,33592510000154,Transporte de cargas pesadas por modal ferroviário nas malhas da Vale,75000.0,Logística Ferroviária
Fornecimento de Minério de Ferro,33592510000154,"Extração, beneficiamento e entrega de minério de ferro com 65% de pureza",320000.0,Mineração
Processamento de Sucata Metálica,33611500000119,"Coleta, triagem e reciclagem de sucata metálica industrial",28000.0,Reciclagem
Corte e Dobra de Aço Estrutural,33611500000119,Serviço de corte e dobra de barras de aço para construção civil sob medida,12500.0,Aço e Metais
Fornecimento de Aço Plano CSN,33042730000104,Laminação e entrega de aço plano para indústria automotiva e de eletrodomésticos,145000.0,Aço e Metais
Serviço de Galvanização Usiminas,60894730000105,Galvanização de chapas e estruturas metálicas para proteção contra corrosão,35000.0,Aço e Metais
Consultoria Metalúrgica,60894730000105,Análise e especificação técnica de materiais metálicos para projetos industriais,9800.0,Consultoria
Fornecimento de Resinas Termoplásticas,42150391000170,Fornecimento de polipropileno e polietileno para indústria plástica e embalagens,85000.0,Petroquímica
Fornecimento de Celulose Suzano,16404287000155,"Celulose branqueada de eucalipto para produção de papel, tecido e embalagens sustentáveis",95000.0,Papel e Celulose
